ID,目次,校区名,date,戦没地,名寄せ
37888,北九州市八幡東区,槻田五区,1945-08-16,ビルマ第2野戦病院,ビルマ方面
37890,北九州市八幡東区,槻田五区,1943-08-04,ビルマ,ビルマ方面
37891,北九州市八幡東区,槻田五区,1944-07-15,ミートキーナ,ビルマ方面
37892,北九州市八幡東区,槻田五区,1944-09-09,インパール,インド方面
37893,北九州市八幡東区,槻田五区,1944-02-08,東シナ海,東シナ海
37894,北九州市八幡東区,槻田五区,1944-11-21,台湾方面,台湾
37895,北九州市八幡東区,槻田五区,1946-01-18,"満
州",満州方面
37896,北九州市八幡東区,槻田五区,1944-12-28,ビルマ,ビルマ方面
37898,北九州市八幡東区,槻田五区,1945-06-12,ルソン島,フィリピン方面
37901,北九州市八幡東区,槻田五区,1945-07-12,朝鮮海峡,朝鮮
37902,北九州市八幡東区,槻田五区,1943-07-14,北支山西省,中国
37903,北九州市八幡東区,槻田五区,1944-07-28,マリアナ島,マリアナ諸島
37905,北九州市八幡東区,槻田五区,1939-07-07,"満
州",満州方面
37907,北九州市八幡東区,槻田五区,1946-04-09,熊本県,その他国内
37908,北九州市八幡東区,槻田五区,1945-02-12,ビルマ,ビルマ方面
37909,北九州市八幡東区,槻田五区,1944-11-17,済州島沖,朝鮮
37910,北九州市八幡東区,槻田五区,1946-05-12,ビルマ,ビルマ方面
37911,北九州市八幡東区,槻田五区,1943-04-28,南方非島,フィリピン方面
37912,北九州市八幡東区,槻田五区,1940-07-12,中支,中国
37913,北九州市八幡東区,槻田五区,1946-08-05,ムスクワ収容所,ソ連
37914,北九州市八幡東区,槻田五区,1943-01-27,福岡陸軍病院,福岡県内
37915,北九州市八幡東区,槻田五区,1945-04-29,ルソン島,フィリピン方面
37917,北九州市八幡東区,槻田五区,1945-06-20,沖縄,沖縄
37918,北九州市八幡東区,槻田五区,1945-07-15,北海道函館沖,その他国内
37920,北九州市八幡東区,槻田五区,1945-03-20,ルソン島,フィリピン方面
